B365H,B365D,B365A,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
3.1,3.4,2.3,2.0,1.85,1.91,1.99,3.2,3.4,2.25,1.98,1.88,1.91,1.99
2.75,3.3,2.6,2.2,1.67,2.03,1.87,2.8,3.3,2.5,2.1,1.73,2.05,1.85
2.05,3.5,3.6,2.1,1.73,2.03,1.78,2.1,3.4,3.5,2.2,1.67,1.82,2.08
1.91,3.3,4.33,2.0,1.8,1.99,1.91,2.1,3.4,3.6,2.0,1.8,1.8,2.1
1.75,3.5,5.0,2.03,1.83,2.04,1.86,1.8,3.75,4.5,1.88,1.98,2.06,1.84
2.2,3.4,3.25,2.05,1.8,1.88,2.02,2.25,3.4,3.1,2.0,1.85,2.02,1.88
1.62,3.8,5.75,2.0,1.85,1.81,2.09,1.65,3.8,5.5,2.0,1.85,1.89,2.01
1.85,3.6,4.2,1.93,1.93,1.88,2.02,1.85,3.6,4.2,2.03,1.83,1.93,1.97
1.85,3.6,4.2,2.0,1.85,1.86,2.04,1.8,3.6,4.5,1.98,1.88,2.07,1.83
1.57,4.2,5.5,1.8,2.0,1.98,1.92,1.8,3.75,4.2,1.85,2.0,2.03,1.78
1.4,4.5,8.5,1.67,2.2,1.96,1.94,1.45,4.5,7.0,1.73,2.1,2.05,1.75
2.38,3.3,3.0,1.95,1.9,2.08,1.82,2.9,3.4,2.45,1.9,1.95,1.81,2.09
2.38,3.3,3.0,1.98,1.88,2.09,1.81,2.38,3.3,3.0,1.95,1.9,2.09,1.81
3.3,3.5,2.15,1.8,2.0,1.99,1.91,3.3,3.3,2.25,2.2,1.67,1.9,2.0
1.95,3.6,3.75,2.1,1.73,2.0,1.9,1.85,3.75,4.0,2.1,1.73,1.91,1.99
4.33,4.0,1.73,1.73,2.1,1.9,2.0,3.8,3.8,1.91,1.8,2.0,1.94,1.96
2.25,3.4,3.2,2.03,1.83,2.0,1.9,2.5,3.2,3.0,2.2,1.67,2.08,1.82
2.1,3.6,3.4,1.9,1.95,1.86,2.04,2.05,3.6,3.6,1.9,1.95,1.75,2.05
1.83,3.6,4.33,2.1,1.73,1.88,2.02,1.91,3.6,4.0,2.1,1.73,1.94,1.96
2.63,3.4,2.6,1.95,1.9,2.0,1.9,2.45,3.3,2.88,2.05,1.8,2.14,1.77
2.9,3.4,2.4,2.03,1.83,1.83,2.07,3.2,3.4,2.15,2.03,1.83,2.0,1.9
1.83,3.75,4.0,1.88,1.98,1.86,2.04,2.0,3.6,3.5,1.85,2.0,2.02,1.88
1.7,3.75,5.0,1.83,2.03,1.95,1.95,1.7,3.75,4.75,1.67,2.2,1.97,1.93
2.05,3.4,3.6,1.95,1.9,1.73,2.08,2.05,3.4,3.6,1.88,1.98,1.75,2.05
2.1,3.5,3.4,1.95,1.9,1.85,2.05,2.05,3.5,3.5,1.93,1.93,1.81,2.09
3.8,3.75,1.91,1.73,2.1,1.98,1.92,4.5,3.8,1.73,1.62,2.3,1.96,1.94
1.95,3.5,3.9,1.88,1.98,1.92,1.98,1.83,3.6,4.2,1.8,2.0,1.89,2.01
2.2,3.3,3.4,2.3,1.62,1.94,1.96,2.3,3.2,3.2,2.3,1.62,1.99,1.91
1.5,4.33,6.5,1.83,2.03,1.89,2.01,1.5,4.33,6.5,1.67,2.2,1.84,2.06
1.7,3.9,4.75,1.8,2.0,1.97,1.93,1.75,3.8,4.5,1.8,2.0,2.0,1.9
4.0,3.6,1.91,2.03,1.83,2.0,1.9,5.25,4.0,1.62,1.9,1.95,2.05,1.85
2.5,3.25,2.88,2.2,1.67,1.79,2.11,2.45,3.3,2.9,2.2,1.67,1.78,2.13
2.25,3.3,3.25,2.03,1.83,1.93,1.97,2.25,3.3,3.25,2.0,1.85,2.0,1.9
1.67,3.75,5.25,1.8,2.05,1.83,2.07,1.6,4.2,5.5,1.8,2.0,2.04,1.86
2.4,3.3,3.0,1.93,1.93,2.1,1.8,2.25,3.4,3.25,1.9,1.95,1.99,1.91
2.0,3.6,3.6,2.03,1.83,2.07,1.83,1.91,3.6,3.75,1.95,1.9,1.97,1.93
2.3,3.3,3.1,2.03,1.83,2.06,1.84,2.25,3.4,3.2,1.95,1.9,1.96,1.94
1.85,3.5,4.33,2.0,1.8,1.87,2.03,1.91,3.6,4.0,1.93,1.93,1.97,1.93
2.15,3.2,3.6,2.1,1.73,1.83,2.07,2.2,3.1,3.5,2.2,1.67,1.93,1.97
2.1,3.3,3.5,1.88,1.98,1.86,2.04,1.95,3.4,4.0,1.9,1.95,2.01,1.89
3.4,3.4,2.15,1.83,2.03,2.04,1.86,3.5,3.6,2.0,1.8,2.0,2.05,1.75
2.3,3.3,3.1,2.1,1.73,2.06,1.84,2.3,3.6,2.88,1.73,2.1,2.06,1.84
2.3,3.25,3.2,2.2,1.67,2.06,1.84,2.55,3.2,2.88,2.3,1.62,2.15,1.68
2.55,3.3,2.75,2.2,1.67,1.88,2.02,2.4,3.3,2.9,2.1,1.73,2.1,1.8
5.75,4.0,1.57,1.83,2.03,1.82,2.08,5.75,4.0,1.57,1.8,2.0,1.88,2.02
1.36,4.75,9.0,1.62,2.3,2.03,1.78,1.33,5.0,9.0,1.57,2.38,2.01,1.89
2.2,3.5,3.2,1.95,1.9,1.98,1.92,2.3,3.5,3.1,1.95,1.9,2.03,1.87
2.0,3.5,3.75,1.9,1.95,1.75,2.05,2.2,3.6,3.2,1.73,2.1,1.95,1.95
2.3,3.2,3.25,2.38,1.57,2.05,1.85,2.45,3.2,3.1,2.38,1.57,2.11,1.79
2.8,3.6,2.4,1.8,2.0,2.1,1.8,2.8,3.6,2.45,1.73,2.1,2.05,1.85
2.1,3.4,3.5,1.98,1.88,1.87,2.03,2.25,3.4,3.25,2.05,1.8,2.0,1.9
2.1,3.5,3.4,1.95,1.9,1.87,2.03,2.25,3.4,3.1,1.95,1.9,2.0,1.9
1.62,4.2,5.5,1.73,2.1,1.83,2.07,1.53,4.33,6.0,1.73,2.1,1.95,1.95
1.44,4.5,7.5,1.67,2.2,2.01,1.89,1.44,4.75,7.0,1.62,2.3,1.99,1.91
