dim_1,dim_2,ava_s_1,ava_s_2
0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,2.0
0.0,0.0,0.0,1.0
2.0,0.0,5.0,0.0
0.0,0.0,0.0,2.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
0.0,1.0,3.0,4.0
0.0,0.0,0.0,0.0
0.0,0.0,2.0,2.0
0.0,2.0,0.0,14.0
0.0,0.0,3.0,3.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,4.0
0.0,0.0,0.0,1.0
2.0,0.0,10.0,0.0
0.0,0.0,9.0,4.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,4.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,4.0
0.0,3.0,0.0,7.0
0.0,3.0,1.0,8.0
0.0,0.0,0.0,0.0
0.0,0.0,2.0,1.0
0.0,0.0,0.0,0.0
3.0,1.0,7.0,10.0
0.0,0.0,0.0,5.0
4.0,0.0,10.0,2.0
0.0,0.0,0.0,1.0
2.0,0.0,3.0,0.0
0.0,0.0,1.0,2.0
0.0,0.0,0.0,0.0
0.0,0.0,6.0,1.0
0.0,0.0,7.0,0.0
0.0,3.0,0.0,15.0
0.0,0.0,5.0,0.0
0.0,0.0,0.0,1.0
2.0,0.0,9.0,0.0
0.0,0.0,0.0,7.0
1.0,0.0,6.0,0.0
0.0,0.0,1.0,2.0
0.0,0.0,0.0,0.0
0.0,0.0,2.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,3.0,1.0
0.0,0.0,0.0,0.0
0.0,4.0,1.0,22.0
0.0,0.0,0.0,1.0
1.0,0.0,8.0,0.0
0.0,0.0,0.0,1.0
2.0,0.0,15.0,0.0
0.0,0.0,2.0,1.0
0.0,0.0,1.0,0.0
0.0,2.0,0.0,3.0
5.0,2.0,39.0,15.0
0.0,0.0,0.0,0.0
0.0,0.0,2.0,1.0
0.0,0.0,0.0,0.0
3.0,0.0,9.0,2.0
0.0,0.0,0.0,0.0
0.0,3.0,2.0,9.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0
1.0,0.0,13.0,0.0
